Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6
Avian Influenza,Dyspnea,Cyanosis,Edema,Ovulation,Diarrhea,Petechiae
Avian Influenza,Dyspnea,Cyanosis,Edema,Ovulation,Diarrhea,Petechiae
Avian Influenza,Dyspnea,Cyanosis,Edema,Ovulation,Diarrhea,Petechiae
Avian Influenza,Dyspnea,Cyanosis,Edema,Ovulation,Diarrhea,Petechiae
Avian Influenza,Dyspnea,Cyanosis,Edema,Ovulation,Diarrhea,Petechiae
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,
Bumblefoot,Inflammation,,,,,
Bumblefoot,Inflammation,,,,,
Bumblefoot,Inflammation,,,,,
Bumblefoot,Inflammation,,,,,
Bumblefoot,Inflammation,,,,,
Fowl Cholera,Dyspnea,Cyanosis,Arthralgia,Splenomegaly,,
Fowl Cholera,Dyspnea,Cyanosis,Arthralgia,Splenomegaly,,
Fowl Cholera,Dyspnea,Cyanosis,Arthralgia,Splenomegaly,,
Fowl Cholera,Dyspnea,Cyanosis,Arthralgia,Splenomegaly,,
Fowl Cholera,Dyspnea,Cyanosis,Arthralgia,Splenomegaly,,
Fowl Pox,Canker,Mycosis,Ulceration,Ovulation,,
Fowl Pox,Canker,Mycosis,Ulceration,Ovulation,,
Fowl Pox,Canker,Mycosis,Ulceration,Ovulation,,
Fowl Pox,Canker,Mycosis,Ulceration,Ovulation,,
Fowl Pox,Canker,Mycosis,Ulceration,Ovulation,,
Infectious Bronchitis,Bronchitis,Oviposition,Rhinorrhea,,,
Infectious Bronchitis,Bronchitis,Oviposition,Rhinorrhea,,,
Infectious Bronchitis,Bronchitis,Oviposition,Rhinorrhea,,,
Infectious Bronchitis,Bronchitis,Oviposition,Rhinorrhea,,,
Infectious Bronchitis,Bronchitis,Oviposition,Rhinorrhea,,,
Infectious Coryza,Cephalitis,Oviposition,Edema,Epiphora,Dampness,
Infectious Coryza,Cephalitis,Oviposition,Edema,Epiphora,Dampness,
Infectious Coryza,Cephalitis,Oviposition,Edema,Epiphora,Dampness,
Infectious Coryza,Cephalitis,Oviposition,Edema,Epiphora,Dampness,
Infectious Coryza,Cephalitis,Oviposition,Edema,Epiphora,Dampness,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,
Mushy Chick Disease,Distension,Malaise,Omphalitis,Suppuration,,
Mushy Chick Disease,Distension,Malaise,Omphalitis,Suppuration,,
Mushy Chick Disease,Distension,Malaise,Omphalitis,Suppuration,,
Mushy Chick Disease,Distension,Malaise,Omphalitis,Suppuration,,
Mushy Chick Disease,Distension,Malaise,Omphalitis,Suppuration,,
Newcastle Disease,Dyspnea,Rhinorrhea,Immobilization,Opacification,Stop laying,
Newcastle Disease,Dyspnea,Rhinorrhea,Immobilization,Opacification,Stop laying,
Newcastle Disease,Dyspnea,Rhinorrhea,Immobilization,Opacification,Stop laying,
Newcastle Disease,Dyspnea,Rhinorrhea,Immobilization,Opacification,Stop laying,
Newcastle Disease,Dyspnea,Rhinorrhea,Immobilization,Opacification,Stop laying,
Pullorum,Dyspnea,Respiratory distress,Inactivity,Pasty,,
Pullorum,Dyspnea,Respiratory distress,Inactivity,Pasty,,
Pullorum,Dyspnea,Respiratory distress,Inactivity,Pasty,,
Pullorum,Dyspnea,Respiratory distress,Inactivity,Pasty,,
Pullorum,Dyspnea,Respiratory distress,Inactivity,Pasty,,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listlessness,Sudden death,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listlessness,Sudden death,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listlessness,Sudden death,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listlessness,Sudden death,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listlessness,Sudden death,
Thrush,Caseation,Disheveled,Dehydration,,,
Thrush,Caseation,Disheveled,Dehydration,,,
Thrush,Caseation,Disheveled,Dehydration,,,
Thrush,Caseation,Disheveled,Dehydration,,,
Thrush,Caseation,Disheveled,Dehydration,,,
